freq,unit,geo\TIME_PERIOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,HAB_P,ES41,194.31,199.81,204.62,217.94,219.45,226.68,225.05,222.92,224.15,232.49,234.39,236.68,245.02,243.92,268.12,268.57,267.08,267.79,262.79,269.17,278.42,280.93,280.5,287.2,285.73,283.24,285.47,282.29,278.18,279.14,287.74,NaN
A,HAB_P,ES42,399.13,392.97,393.35,395.11,391.31,397.5,402.68,410.97,415.16,415.5,420.04,419.0,421.0,409.32,397.34,387.22,378.3,387.74,392.37,431.79,445.68,446.76,430.79,423.27,426.1,429.7,428.89,428.92,407.09,413.66,414.38,NaN
A,HAB_P,ES43,259.58,256.65,265.59,267.92,269.54,275.24,283.42,277.17,279.93,275.45,273.9,288.86,287.0,289.8,279.63,272.85,279.34,273.97,276.95,283.87,277.24,280.89,296.98,302.79,304.69,302.87,299.06,286.22,283.14,288.17,288.03,NaN
A,HAB_P,ES51,250.93,255.71,255.03,256.26,262.29,265.19,262.37,262.43,264.09,257.69,261.56,254.04,255.47,250.41,249.74,250.34,251.15,253.12,263.64,266.33,272.47,270.5,269.06,266.83,263.2,261.14,262.58,263.32,267.06,267.99,273.62,NaN
A,HAB_P,ES52,405.9,414.22,426.0,424.22,433.82,429.41,427.57,437.47,446.51,440.17,441.14,434.08,433.93,426.55,409.56,412.92,409.16,406.23,417.48,429.52,430.78,429.89,428.89,428.52,427.2,425.64,432.58,420.07,421.82,436.58,455.1,NaN
A,HAB_P,ES53,360.39,352.49,372.32,350.57,337.79,333.41,341.98,346.79,340.97,344.52,349.62,354.65,358.6,363.21,340.77,338.08,346.48,345.03,352.06,352.38,352.06,345.44,330.27,327.93,333.5,328.02,338.56,345.26,360.58,356.48,369.84,NaN
A,HAB_P,ES61,389.47,377.82,384.61,386.13,389.33,389.13,391.3,391.41,397.48,405.37,412.77,414.19,420.63,421.6,418.33,429.85,432.55,449.06,453.39,463.25,457.04,461.15,454.86,460.87,455.38,456.12,457.89,455.53,434.39,421.94,432.09,NaN
A,HAB_P,ES62,409.03,428.17,431.14,398.75,405.58,392.45,382.19,391.42,381.6,405.58,392.66,374.98,361.27,353.14,339.01,331.99,330.74,326.68,321.82,320.02,321.2,318.86,314.23,313.83,318.11,313.37,308.11,323.92,319.49,330.69,336.95,NaN
A,HAB_P,ES63,265.07,327.26,327.26,324.76,345.88,395.75,369.94,386.76,374.83,369.94,373.19,459.93,459.93,467.51,467.51,431.91,459.93,483.45,475.35,467.51,472.71,472.71,478.02,478.02,480.72,480.72,473.71,484.41,491.54,500.32,494.74,NaN
A,HAB_P,ES64,370.7,370.7,385.59,392.6,392.6,445.22,438.44,383.88,442.94,431.87,431.87,429.72,431.87,447.53,440.68,523.47,508.08,517.2,520.32,523.47,523.47,523.47,523.47,536.48,529.9,536.48,537.05,517.99,513.12,510.25,513.41,NaN
A,HAB_P,ES70,273.58,273.78,281.19,286.12,284.38,282.88,264.28,279.0,279.51,283.33,282.51,284.91,282.18,304.01,307.31,310.54,311.58,313.67,320.91,325.62,328.25,325.67,321.39,323.81,320.34,316.38,334.85,349.76,343.83,347.99,345.15,NaN
A,HAB_P,FI,131.99,132.34,133.02,132.67,135.96,137.76,140.46,141.39,142.53,144.33,146.13,148.66,149.13,149.97,154.96,158.1,165.31,175.63,185.35,192.76,208.64,222.87,235.12,252.96,266.82,280.58,294.74,329.81,322.41,347.34,358.22,NaN
A,HAB_P,FI19,127.41,127.77,129.43,127.06,130.79,129.79,133.46,138.71,140.13,141.96,142.84,143.38,142.97,144.63,149.84,151.87,156.01,158.32,170.78,178.12,193.92,217.18,221.86,248.42,251.92,274.09,286.5,313.35,305.36,313.72,327.5,NaN
A,HAB_P,FI1B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,183.32,185.95,190.0,196.19,206.75,211.4,211.12,215.42,217.11,221.8,268.05,261.92,276.75,291.02,304.38,302.45,317.93,311.99,354.18,377.44,384.36,374.47,431.73,428.85,NaN
A,HAB_P,FI1C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131.8,132.29,135.08,136.29,134.98,133.81,133.65,139.64,143.84,155.4,151.67,170.93,177.72,198.54,209.17,231.94,248.91,289.12,284.76,286.9,370.73,349.24,379.02,392.92,NaN
A,HAB_P,FI1D,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.23,116.92,116.91,117.43,120.12,120.58,121.79,125.57,128.99,136.14,147.12,152.17,155.96,167.18,175.64,192.34,203.98,221.91,221.26,235.3,265.87,268.46,282.69,296.51,NaN
A,HAB_P,FI20,140.51,137.91,141.85,141.85,139.2,145.31,155.15,179.59,163.83,152.04,160.88,167.97,168.05,180.06,188.25,204.13,201.06,217.44,236.42,250.33,297.89,330.99,391.96,402.55,419.56,496.48,2712.41,545.57,431.95,446.35,447.79,NaN
A,HAB_P,FR,NaN,NaN,NaN,NaN,132.46,134.35,135.95,138.95,140.47,141.54,143.65,145.61,147.83,149.17,149.33,151.89,156.61,161.48,162.46,162.21,163.01,163.86,164.98,166.6,168.54,170.22,172.46,175.14,178.43,182.37,185.11,NaN
A,HAB_P,FR10,NaN,NaN,NaN,NaN,147.7,150.94,154.24,157.95,161.77,161.18,164.39,165.16,167.27,166.82,165.83,166.92,168.51,172.84,173.27,173.44,177.78,178.19,180.37,182.63,183.84,186.22,191.54,194.07,201.06,206.9,207.09,NaN
