Country,Legislature type,Salary (local),Salary ($US),GDP per capita ($US),Salary as % GDP per capita,Data confidence,Last checked,Source
:pg: Papua New Guinea,National Parliament,K 105343,25220,4607,547%,Medium,22-Nov-2024,[PNG Parliament 2015](https://www.parliament.gov.pg/uploads/SALARIES-AND-REMUNERATION-COMMISSION-2017.pdf)
:nr: Nauru,Parliament,$ 37397,24940,12671,197%,High,22-Nov-2024,[Nauru Parliament 2017](http://ronlaw.gov.nr/nauru_lpms/index.php/act/view/1527)
:sb: Solomon Islands,National Parliament,SI$ 198810,23400,3035,771%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/SB/SB-LC01/parliamentary-mandate/parliamentary-mandate/)
:ye: Yemen,House of Representatives,﷼. 5520000,23041,5888,391%,Medium,20-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/YE/YE-LC01/parliamentary-mandate/parliamentary-mandate/)
:ag: Antigua and Barbuda,House of Representatives,EC$ 61560,22740,31802,72%,Medium,25-Oct-2024,[Media report 2024](https://antiguaobserver.com/opposition-members-caught-off-guard-by-govts-move-to-raise-parliamentarians-salaries/#google_vignette)
:gd: Grenada,House of Representatives,EC$ 60000,22160,17654,126%,Medium,31-Oct-2024,[Media report 2023](https://www.thenewtodaygrenada.com/local-news/pay-hike-for-parliamentarians/)
:dj: Djibouti,National Assembly,Fdj 3910676,21960,7204,305%,Low,21-Oct-2024,[Inter-Parliamentary Union 2018](https://data.ipu.org/parliament/DJ/DJ-LC01/parliamentary-mandate/parliamentary-mandate/)
:kz: Kazakhstan,Parliament,₸ 11880000,21960,39333,56%,Low,14-Oct-2024,[Media report 2023](https://tashkenttimes.uz/national/11463-uzbek-mps-paid-less-than-their-foreign-peers)
:mk: North Macedonia,Assembly of the Republic,ден 1107000,21250,24873,85%,Medium,22-Nov-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/MK/MK-LC01/parliamentary-mandate/parliamentary-mandate/)
:gh: Ghana,Parliament,¢ 252000,20570,7466,276%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/GH/GH-LC01/parliamentary-mandate/parliamentary-mandate/)
:tn: Tunisia,Assembly of People's Representatives,د.ت 59000,20460,13682,150%,Medium,21-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/TN/TN-LC01/parliamentary-mandate/parliamentary-mandate/)
:ge: Georgia,Parliament,ლ 55488,20410,24681,83%,Medium,31-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/GE/GE-LC01/parliamentary-mandate/parliamentary-mandate/)
:cn: China,Congress,¥ 136620,19230,24558,78%,Low,16-Jul-2022,[Media report 2015](http://www.chinadaily.com.cn/china/2015-01/20/content_19353528.htm)
:bz: Belize,House of Representatives,BZ$ 37800,18780,14195,132%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/BZ/BZ-LC01/parliamentary-mandate/parliamentary-mandate/)
:mu: Mauritius,National Assembly,Rs 820800,18200,29499,62%,High,5-Nov-2024,[Act of Parliament 2017](https://mauritiuslii.org/akn/mu/act/1973/21/eng@2017-06-30)
:cg: Republic of the Congo,National Assembly,FCFA 9900000,17880,6933,258%,Low,28-Oct-2024,[Inter-Parliamentary Union 2022](https://data.ipu.org/parliament/CG/CG-LC01/parliamentary-mandate/parliamentary-mandate/)
:bj: Benin,National Assembly,FCFA 9890496,17860,4248,420%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/BJ/BJ-LC01/parliamentary-mandate/parliamentary-mandate/)
:cv: Cabo Verde,National Assembly,$ 1632000,17530,9086,193%,Medium,25-Oct-2024,[Inter-Parliamentary Union 2023](https://data.ipu.org/parliament/CV/CV-LC01/parliamentary-mandate/parliamentary-mandate/)
