CN,ISO,Rate
18050000,DE,7.0
1806,DE,7.0
19,DE,7.0
2001,DE,7.0
2002,DE,7.0
2003,DE,7.0
2004,DE,7.0
2005,DE,7.0
200600,DE,7.0
2007,DE,7.0
2008,DE,7.0
21,DE,7.0
210690,DE,7.0
22019000,DE,7.0
2202,DE,7.0
220900,DE,7.0
23,DE,7.0
250100,DE,7.0
28363000,DE,7.0
28369917,DE,7.0
290544,DE,7.0
29152100,DE,7.0
29251100,DE,7.0
31010000,DE,7.0
330210,DE,7.0
350300,DE,7.0
01,DE,7.0
02,DE,7.0
03,DE,7.0
04,DE,7.0
05040000,DE,7.0
07,DE,7.0
0801,DE,7.0
0802,DE,7.0
0803,DE,7.0
0804,DE,7.0
0805,DE,7.0
0806,DE,7.0
0807,DE,7.0
0808,DE,7.0
0809,DE,7.0
0810,DE,7.0
0811,DE,7.0
0812,DE,7.0
0813,DE,7.0
09,DE,7.0
10,DE,7.0
110100,DE,7.0
1102,DE,7.0
1103,DE,7.0
1104,DE,7.0
1105,DE,7.0
1106,DE,7.0
1108,DE,7.0
1201,DE,7.0
1202,DE,7.0
12030000,DE,7.0
120400,DE,7.0
1205,DE,7.0
120600,DE,7.0
1207,DE,7.0
1208,DE,7.0
1209,DE,7.0
1211,DE,7.0
1212,DE,7.0
12130000,DE,7.0
1214,DE,7.0
130220,DE,7.0
1501,DE,7.0
1502,DE,7.0
150300,DE,7.0
1507,DE,7.0
1508,DE,7.0
1509,DE,7.0
151000,DE,7.0
1511,DE,7.0
1512,DE,7.0
1513,DE,7.0
1514,DE,7.0
1515,DE,7.0
1516,DE,7.0
1517,DE,7.0
16,DE,7.0
17,DE,7.0
18050000,DE,7.0
1806,DE,7.0
19,DE,7.0
2001,DE,7.0
2002,DE,7.0
2003,DE,7.0
2004,DE,7.0
2005,DE,7.0
200600,DE,7.0
2007,DE,7.0
2008,DE,7.0
21,DE,7.0
210690,DE,7.0
22019000,DE,7.0
2202,DE,7.0
220900,DE,7.0
23,DE,7.0
250100,DE,7.0
28363000,DE,7.0
28369917,DE,7.0
290544,DE,7.0
29152100,DE,7.0
29251100,DE,7.0
31010000,DE,7.0
330210,DE,7.0
350300,DE,7.0
05119939,DE,0.0
39249000,DE,0.0
40149000,DE,0.0
961900,DE,0.0
05119939,DE,0.0
39249000,DE,0.0
40149000,DE,0.0
961900,DE,0.0
06,DE,0.0
44011100,DE,0.0
