freq,unit,deg_urb,geo\TIME_PERIOD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,PC,DEG3,HU,NaN,NaN,18.2,13.8,11.3,11.1,8.7,11.0,12.8,13.6,15.5,11.4,7.6,8.9,9.5,9.6,2.4,2.2,2.2,7.4,8.6,7.3
A,PC,DEG3,IE,4.1,1.0,1.6,1.6,1.6,1.8,2.2,4.0,4.0,5.2,3.9,4.5,3.3,3.1,2.7,2.2,2.9,1.9,1.5,2.3,4.7,4.2
A,PC,DEG3,IS,NaN,8.5,10.9,13.1,11.0,11.4,7.1,7.4,9.1,6.0,7.9,5.5,4.8,4.6,5.1,5.3,11.6,11.7,NaN,NaN,NaN,NaN
A,PC,DEG3,IT,NaN,9.7,10.8,9.9,6.2,5.9,5.4,5.8,6.7,5.8,6.4,7.8,6.0,7.0,5.6,5.0,6.9,6.8,6.4,4.7,3.0,3.2
A,PC,DEG3,LT,NaN,NaN,8.7,7.3,5.6,5.9,5.6,8.7,9.1,6.8,6.7,5.5,8.3,7.8,8.3,6.7,5.3,3.3,3.9,4.3,5.9,8.1
A,PC,DEG3,LU,2.3,2.0,2.3,3.2,1.8,2.2,2.9,3.9,3.2,4.5,4.3,5.7,4.2,5.5,6.4,7.6,8.6,5.6,4.3,9.7,9.0,5.9
A,PC,DEG3,LV,NaN,NaN,12.5,11.0,9.0,7.4,7.0,7.9,9.9,8.4,9.8,8.3,7.5,5.6,6.5,6.2,6.1,4.6,5.2,5.2,5.5,5.7
A,PC,DEG3,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9,11.9,11.0,11.2,9.3,NaN,NaN,NaN,NaN
A,PC,DEG3,MT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,NaN,NaN,NaN,2.3,0.2,17.6,2.6
A,PC,DEG3,NL,NaN,NaN,27.1,19.1,23.3,18.0,8.8,6.6,6.9,11.4,10.8,13.0,9.7,5.9,5.1,4.6,5.6,5.0,5.3,6.1,5.4,3.3
A,PC,DEG3,NO,NaN,6.7,4.0,9.1,10.6,11.7,9.6,7.9,10.7,8.6,7.5,NaN,6.8,7.4,6.4,8.6,7.5,5.8,7.9,9.0,8.1,10.8
A,PC,DEG3,PL,NaN,NaN,14.1,10.8,9.0,8.6,7.4,7.7,9.1,9.2,9.4,8.5,7.9,6.2,5.0,4.8,4.7,4.4,5.3,5.2,5.7,4.9
A,PC,DEG3,PT,NaN,4.4,3.7,4.0,4.9,6.7,4.0,3.3,5.6,6.1,5.7,7.1,7.3,5.9,5.0,5.1,4.6,3.2,4.5,4.1,3.6,3.9
A,PC,DEG3,RO,NaN,NaN,NaN,NaN,20.2,19.6,17.0,17.1,11.3,19.0,17.8,18.6,18.6,16.4,15.0,13.2,11.3,8.1,10.8,9.8,11.0,5.8
A,PC,DEG3,RS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3,35.4,37.6,31.9,35.8,35.1,23.8,20.9,17.3,13.6,15.1,NaN
A,PC,DEG3,SE,NaN,8.0,7.9,9.1,7.2,9.0,9.5,6.8,8.8,8.1,8.4,8.1,7.0,6.1,7.4,6.2,6.8,7.6,7.5,8.3,8.2,8.4
A,PC,DEG3,SI,NaN,NaN,4.4,2.6,4.4,4.3,3.4,3.9,3.8,3.9,4.6,5.1,4.9,4.3,4.2,3.7,3.1,3.6,3.4,2.8,2.5,3.0
A,PC,DEG3,SK,NaN,NaN,14.4,17.7,14.9,5.2,10.4,8.4,8.7,9.1,9.1,8.8,7.8,8.0,8.2,2.7,4.0,2.5,5.9,2.8,5.5,6.4
A,PC,DEG3,UK,NaN,NaN,12.2,17.1,14.1,15.5,15.6,16.0,15.1,5.5,5.3,9.3,9.5,10.5,10.7,14.9,NaN,NaN,NaN,NaN,NaN,NaN
